Date,Hours,year,Site
9/1/23,0.00,2021-2022,Hopland
9/2/23,0.00,2021-2022,Hopland
9/3/23,0.00,2021-2022,Hopland
9/4/23,0.00,2021-2022,Hopland
9/5/23,0.00,2021-2022,Hopland
9/6/23,0.00,2021-2022,Hopland
9/7/23,0.00,2021-2022,Hopland
9/8/23,0.00,2021-2022,Hopland
9/9/23,0.00,2021-2022,Hopland
9/10/23,0.00,2021-2022,Hopland
9/11/23,0.00,2021-2022,Hopland
9/12/23,0.00,2021-2022,Hopland
9/13/23,0.00,2021-2022,Hopland
9/14/23,0.00,2021-2022,Hopland
9/15/23,0.00,2021-2022,Hopland
9/16/23,0.00,2021-2022,Hopland
9/17/23,0.00,2021-2022,Hopland
9/18/23,0.00,2021-2022,Hopland
9/19/23,0.00,2021-2022,Hopland
9/20/23,3.00,2021-2022,Hopland
9/21/23,3.00,2021-2022,Hopland
9/22/23,3.00,2021-2022,Hopland
9/23/23,3.00,2021-2022,Hopland
9/24/23,3.00,2021-2022,Hopland
9/25/23,3.00,2021-2022,Hopland
9/26/23,3.00,2021-2022,Hopland
9/27/23,3.00,2021-2022,Hopland
9/28/23,3.00,2021-2022,Hopland
9/29/23,8.00,2021-2022,Hopland
9/30/23,12.00,2021-2022,Hopland
10/1/23,12.00,2021-2022,Hopland
10/2/23,12.00,2021-2022,Hopland
10/3/23,12.00,2021-2022,Hopland
10/4/23,15.00,2021-2022,Hopland
10/5/23,19.00,2021-2022,Hopland
10/6/23,20.00,2021-2022,Hopland
10/7/23,28.00,2021-2022,Hopland
10/8/23,36.00,2021-2022,Hopland
10/9/23,42.00,2021-2022,Hopland
10/10/23,49.00,2021-2022,Hopland
10/11/23,51.00,2021-2022,Hopland
10/12/23,59.00,2021-2022,Hopland
10/13/23,63.00,2021-2022,Hopland
10/14/23,72.00,2021-2022,Hopland
10/15/23,80.00,2021-2022,Hopland
10/16/23,88.00,2021-2022,Hopland
10/17/23,96.00,2021-2022,Hopland
10/18/23,100.00,2021-2022,Hopland
10/19/23,109.00,2021-2022,Hopland
10/20/23,109.00,2021-2022,Hopland
10/21/23,109.00,2021-2022,Hopland
10/22/23,109.00,2021-2022,Hopland
10/23/23,109.00,2021-2022,Hopland
10/24/23,109.00,2021-2022,Hopland
10/25/23,109.00,2021-2022,Hopland
10/26/23,109.00,2021-2022,Hopland
10/27/23,109.00,2021-2022,Hopland
10/28/23,109.00,2021-2022,Hopland
10/29/23,109.00,2021-2022,Hopland
10/30/23,109.00,2021-2022,Hopland
10/31/23,109.00,2021-2022,Hopland
11/1/23,109.00,2021-2022,Hopland
11/2/23,109.00,2021-2022,Hopland
11/3/23,109.00,2021-2022,Hopland
11/4/23,111.00,2021-2022,Hopland
11/5/23,119.00,2021-2022,Hopland
11/6/23,123.00,2021-2022,Hopland
11/7/23,137.00,2021-2022,Hopland
11/8/23,147.00,2021-2022,Hopland
11/9/23,147.00,2021-2022,Hopland
11/10/23,147.00,2021-2022,Hopland
11/11/23,147.00,2021-2022,Hopland
11/12/23,147.00,2021-2022,Hopland
11/13/23,152.00,2021-2022,Hopland
11/14/23,157.00,2021-2022,Hopland
11/15/23,157.00,2021-2022,Hopland
11/16/23,157.00,2021-2022,Hopland
11/17/23,168.00,2021-2022,Hopland
11/18/23,177.00,2021-2022,Hopland
11/19/23,177.00,2021-2022,Hopland
11/20/23,182.00,2021-2022,Hopland
11/21/23,197.00,2021-2022,Hopland
11/22/23,211.00,2021-2022,Hopland
11/23/23,224.00,2021-2022,Hopland
11/24/23,240.00,2021-2022,Hopland
11/25/23,254.00,2021-2022,Hopland
11/26/23,263.00,2021-2022,Hopland
11/27/23,271.00,2021-2022,Hopland
11/28/23,278.00,2021-2022,Hopland
11/29/23,281.00,2021-2022,Hopland
11/30/23,294.00,2021-2022,Hopland
12/1/23,307.00,2021-2022,Hopland
12/2/23,320.00,2021-2022,Hopland
12/3/23,329.00,2021-2022,Hopland
12/4/23,338.00,2021-2022,Hopland
12/5/23,351.00,2021-2022,Hopland
12/6/23,361.00,2021-2022,Hopland
12/7/23,362.00,2021-2022,Hopland
12/8/23,362.00,2021-2022,Hopland
12/9/23,370.00,2021-2022,Hopland
12/10/23,387.00,2021-2022,Hopland
12/11/23,399.00,2021-2022,Hopland
12/12/23,399.00,2021-2022,Hopland
12/13/23,406.00,2021-2022,Hopland
12/14/23,425.00,2021-2022,Hopland
12/15/23,438.00,2021-2022,Hopland
12/16/23,454.00,2021-2022,Hopland
12/17/23,473.00,2021-2022,Hopland
12/18/23,492.00,2021-2022,Hopland
12/19/23,505.00,2021-2022,Hopland
12/20/23,511.00,2021-2022,Hopland
12/21/23,511.00,2021-2022,Hopland
12/22/23,511.00,2021-2022,Hopland
12/23/23,511.00,2021-2022,Hopland
12/24/23,516.00,2021-2022,Hopland
12/25/23,526.00,2021-2022,Hopland
12/26/23,550.00,2021-2022,Hopland
12/27/23,574.00,2021-2022,Hopland
12/28/23,598.00,2021-2022,Hopland
12/29/23,616.00,2021-2022,Hopland
12/30/23,635.00,2021-2022,Hopland
12/31/23,653.00,2021-2022,Hopland
1/1/24,671.00,2021-2022,Hopland
1/2/24,686.00,2021-2022,Hopland
1/3/24,694.00,2021-2022,Hopland
1/4/24,694.00,2021-2022,Hopland
1/5/24,694.00,2021-2022,Hopland
1/6/24,694.00,2021-2022,Hopland
1/7/24,699.00,2021-2022,Hopland
1/8/24,715.00,2021-2022,Hopland
1/9/24,730.00,2021-2022,Hopland
1/10/24,743.00,2021-2022,Hopland
1/11/24,757.00,2021-2022,Hopland
1/12/24,770.00,2021-2022,Hopland
1/13/24,784.00,2021-2022,Hopland
1/14/24,798.00,2021-2022,Hopland
1/15/24,811.00,2021-2022,Hopland
1/16/24,827.00,2021-2022,Hopland
1/17/24,842.00,2021-2022,Hopland
1/18/24,854.00,2021-2022,Hopland
1/19/24,868.00,2021-2022,Hopland
1/20/24,881.00,2021-2022,Hopland
1/21/24,896.00,2021-2022,Hopland
1/22/24,904.00,2021-2022,Hopland
1/23/24,917.00,2021-2022,Hopland
1/24/24,932.00,2021-2022,Hopland
1/25/24,947.00,2021-2022,Hopland
1/26/24,962.00,2021-2022,Hopland
1/27/24,977.00,2021-2022,Hopland
1/28/24,993.00,2021-2022,Hopland
1/29/24,1008.00,2021-2022,Hopland
1/30/24,1021.00,2021-2022,Hopland
1/31/24,1034.00,2021-2022,Hopland
2/1/24,1049.00,2021-2022,Hopland
2/2/24,1064.00,2021-2022,Hopland
2/3/24,1079.00,2021-2022,Hopland
2/4/24,1093.00,2021-2022,Hopland
2/5/24,1107.00,2021-2022,Hopland
2/6/24,1121.00,2021-2022,Hopland
2/7/24,1133.00,2021-2022,Hopland
2/8/24,1145.00,2021-2022,Hopland
2/9/24,1158.00,2021-2022,Hopland
2/10/24,1169.00,2021-2022,Hopland
2/11/24,1179.00,2021-2022,Hopland
2/12/24,1188.00,2021-2022,Hopland
2/13/24,1198.00,2021-2022,Hopland
2/14/24,1209.00,2021-2022,Hopland
2/15/24,1223.00,2021-2022,Hopland
2/16/24,1235.00,2021-2022,Hopland
2/17/24,1247.00,2021-2022,Hopland
2/18/24,1259.00,2021-2022,Hopland
2/19/24,1271.00,2021-2022,Hopland
2/20/24,1284.00,2021-2022,Hopland
2/21/24,1299.00,2021-2022,Hopland
2/22/24,1315.00,2021-2022,Hopland
2/23/24,1332.00,2021-2022,Hopland
2/24/24,1348.00,2021-2022,Hopland
2/25/24,1363.00,2021-2022,Hopland
2/26/24,1376.00,2021-2022,Hopland
2/27/24,1388.00,2021-2022,Hopland
2/28/24,1398.00,2021-2022,Hopland
3/1/24,1407.00,2021-2022,Hopland
2/29/24,1407.00,2021-2022,Hopland
3/2/24,1415.00,2021-2022,Hopland
3/3/24,1416.00,2021-2022,Hopland
3/4/24,1421.00,2021-2022,Hopland
3/5/24,1435.00,2021-2022,Hopland
3/6/24,1449.00,2021-2022,Hopland
3/7/24,1461.00,2021-2022,Hopland
3/8/24,1469.00,2021-2022,Hopland
3/9/24,1478.00,2021-2022,Hopland
3/10/24,1490.00,2021-2022,Hopland
3/11/24,1502.00,2021-2022,Hopland
3/12/24,1511.00,2021-2022,Hopland
3/13/24,1513.00,2021-2022,Hopland
3/14/24,1520.00,2021-2022,Hopland
3/15/24,1522.00,2021-2022,Hopland
3/16/24,1533.00,2021-2022,Hopland
3/17/24,1544.00,2021-2022,Hopland
3/18/24,1552.00,2021-2022,Hopland
3/19/24,1556.00,2021-2022,Hopland
3/20/24,1567.00,2021-2022,Hopland
3/21/24,1573.00,2021-2022,Hopland
3/22/24,1578.00,2021-2022,Hopland
3/23/24,1581.00,2021-2022,Hopland
3/24/24,1588.00,2021-2022,Hopland
3/25/24,1595.00,2021-2022,Hopland
3/26/24,1603.00,2021-2022,Hopland
3/27/24,1603.00,2021-2022,Hopland
3/28/24,1604.00,2021-2022,Hopland
3/29/24,1604.00,2021-2022,Hopland
3/30/24,1606.00,2021-2022,Hopland
3/31/24,1616.00,2021-2022,Hopland
4/1/24,1625.00,2021-2022,Hopland
4/2/24,1633.00,2021-2022,Hopland
4/3/24,1643.00,2021-2022,Hopland
4/4/24,1644.00,2021-2022,Hopland
4/5/24,1650.00,2021-2022,Hopland
4/6/24,1657.00,2021-2022,Hopland
4/7/24,1662.00,2021-2022,Hopland
4/8/24,1667.00,2021-2022,Hopland
4/9/24,1671.00,2021-2022,Hopland
4/10/24,1676.00,2021-2022,Hopland
4/11/24,1686.00,2021-2022,Hopland
4/12/24,1699.00,2021-2022,Hopland
4/13/24,1707.00,2021-2022,Hopland
4/14/24,1708.00,2021-2022,Hopland
4/15/24,1717.00,2021-2022,Hopland
4/16/24,1721.00,2021-2022,Hopland
4/17/24,1733.00,2021-2022,Hopland
4/18/24,1742.00,2021-2022,Hopland
4/19/24,1752.00,2021-2022,Hopland
4/20/24,1759.00,2021-2022,Hopland
4/21/24,1761.00,2021-2022,Hopland
4/22/24,1767.00,2021-2022,Hopland
4/23/24,1775.00,2021-2022,Hopland
4/24/24,1782.00,2021-2022,Hopland
4/25/24,1788.00,2021-2022,Hopland
4/26/24,1788.00,2021-2022,Hopland
4/27/24,1796.00,2021-2022,Hopland
4/28/24,1803.00,2021-2022,Hopland
4/29/24,1810.00,2021-2022,Hopland
4/30/24,1813.00,2021-2022,Hopland
5/1/24,1817.00,2021-2022,Hopland
5/2/24,1819.00,2021-2022,Hopland
5/3/24,1826.00,2021-2022,Hopland
5/4/24,1831.00,2021-2022,Hopland
5/5/24,1831.00,2021-2022,Hopland
5/6/24,1831.00,2021-2022,Hopland
5/7/24,1832.00,2021-2022,Hopland
5/8/24,1844.00,2021-2022,Hopland
5/9/24,1855.00,2021-2022,Hopland
5/10/24,1867.00,2021-2022,Hopland
5/11/24,1875.00,2021-2022,Hopland
5/12/24,1883.00,2021-2022,Hopland
5/13/24,1889.00,2021-2022,Hopland
5/14/24,1889.00,2021-2022,Hopland
5/15/24,1889.00,2021-2022,Hopland
5/16/24,1889.00,2021-2022,Hopland
5/17/24,1889.00,2021-2022,Hopland
5/18/24,1892.00,2021-2022,Hopland
5/19/24,1892.00,2021-2022,Hopland
5/20/24,1895.00,2021-2022,Hopland
5/21/24,1900.00,2021-2022,Hopland
5/22/24,1904.00,2021-2022,Hopland
5/23/24,1904.00,2021-2022,Hopland
5/24/24,1904.00,2021-2022,Hopland
5/25/24,1904.00,2021-2022,Hopland
5/26/24,1904.00,2021-2022,Hopland
5/27/24,1904.00,2021-2022,Hopland
5/28/24,1904.00,2021-2022,Hopland
5/29/24,1904.00,2021-2022,Hopland
5/30/24,1908.00,2021-2022,Hopland
5/31/24,1912.00,2021-2022,Hopland
6/1/24,1915.00,2021-2022,Hopland
6/2/24,1915.00,2021-2022,Hopland
6/3/24,1915.00,2021-2022,Hopland
6/4/24,1915.00,2021-2022,Hopland
6/5/24,1915.00,2021-2022,Hopland
6/6/24,1915.00,2021-2022,Hopland
6/7/24,1915.00,2021-2022,Hopland
6/8/24,1915.00,2021-2022,Hopland
6/9/24,1915.00,2021-2022,Hopland
6/10/24,1915.00,2021-2022,Hopland
6/11/24,1915.00,2021-2022,Hopland
6/12/24,1915.00,2021-2022,Hopland
6/13/24,1915.00,2021-2022,Hopland
6/14/24,1915.00,2021-2022,Hopland
6/15/24,1915.00,2021-2022,Hopland
6/16/24,1917.00,2021-2022,Hopland
6/17/24,1919.00,2021-2022,Hopland
6/18/24,1925.00,2021-2022,Hopland
6/19/24,1929.00,2021-2022,Hopland
6/20/24,1930.00,2021-2022,Hopland
6/21/24,1930.00,2021-2022,Hopland
6/22/24,1930.00,2021-2022,Hopland
6/23/24,1930.00,2021-2022,Hopland
6/24/24,1930.00,2021-2022,Hopland
6/25/24,1930.00,2021-2022,Hopland
6/26/24,1930.00,2021-2022,Hopland
6/27/24,1930.00,2021-2022,Hopland
6/28/24,1930.00,2021-2022,Hopland
6/29/24,1930.00,2021-2022,Hopland
6/30/24,1930.00,2021-2022,Hopland
9/1/23,0.00,2022-2023,Hopland
9/2/23,0.00,2022-2023,Hopland
9/3/23,0.00,2022-2023,Hopland
9/4/23,0.00,2022-2023,Hopland
9/5/23,0.00,2022-2023,Hopland
9/6/23,0.00,2022-2023,Hopland
9/7/23,0.00,2022-2023,Hopland
9/8/23,0.00,2022-2023,Hopland
9/9/23,0.00,2022-2023,Hopland
9/10/23,0.00,2022-2023,Hopland
9/11/23,0.00,2022-2023,Hopland
9/12/23,0.00,2022-2023,Hopland
9/13/23,0.00,2022-2023,Hopland
9/14/23,0.00,2022-2023,Hopland
9/15/23,1.00,2022-2023,Hopland
9/16/23,1.00,2022-2023,Hopland
9/17/23,1.00,2022-2023,Hopland
9/18/23,1.00,2022-2023,Hopland
9/19/23,1.00,2022-2023,Hopland
9/20/23,1.00,2022-2023,Hopland
9/21/23,1.00,2022-2023,Hopland
9/22/23,1.00,2022-2023,Hopland
9/23/23,1.00,2022-2023,Hopland
9/24/23,1.00,2022-2023,Hopland
9/25/23,1.00,2022-2023,Hopland
9/26/23,1.00,2022-2023,Hopland
9/27/23,1.00,2022-2023,Hopland
9/28/23,2.00,2022-2023,Hopland
9/29/23,2.00,2022-2023,Hopland
9/30/23,2.00,2022-2023,Hopland
10/1/23,2.00,2022-2023,Hopland
10/2/23,2.00,2022-2023,Hopland
10/3/23,3.00,2022-2023,Hopland
10/4/23,3.00,2022-2023,Hopland
10/5/23,3.00,2022-2023,Hopland
10/6/23,3.00,2022-2023,Hopland
10/7/23,3.00,2022-2023,Hopland
10/8/23,3.00,2022-2023,Hopland
10/9/23,3.00,2022-2023,Hopland
10/10/23,5.00,2022-2023,Hopland
10/11/23,7.00,2022-2023,Hopland
10/12/23,8.00,2022-2023,Hopland
10/13/23,8.00,2022-2023,Hopland
10/14/23,11.00,2022-2023,Hopland
10/15/23,11.00,2022-2023,Hopland
10/16/23,11.00,2022-2023,Hopland
10/17/23,11.00,2022-2023,Hopland
10/18/23,11.00,2022-2023,Hopland
10/19/23,16.00,2022-2023,Hopland
10/20/23,21.00,2022-2023,Hopland
10/21/23,25.00,2022-2023,Hopland
10/22/23,25.00,2022-2023,Hopland
10/23/23,31.00,2022-2023,Hopland
10/24/23,39.00,2022-2023,Hopland
10/25/23,42.00,2022-2023,Hopland
10/26/23,48.00,2022-2023,Hopland
10/27/23,60.00,2022-2023,Hopland
10/28/23,72.00,2022-2023,Hopland
10/29/23,80.00,2022-2023,Hopland
10/30/23,91.00,2022-2023,Hopland
10/31/23,102.00,2022-2023,Hopland
11/1/23,108.00,2022-2023,Hopland
11/2/23,122.00,2022-2023,Hopland
11/3/23,137.00,2022-2023,Hopland
11/4/23,145.00,2022-2023,Hopland
11/5/23,145.00,2022-2023,Hopland
11/6/23,153.00,2022-2023,Hopland
11/7/23,170.00,2022-2023,Hopland
11/8/23,188.00,2022-2023,Hopland
11/9/23,204.00,2022-2023,Hopland
11/10/23,221.00,2022-2023,Hopland
11/11/23,236.00,2022-2023,Hopland
11/12/23,248.00,2022-2023,Hopland
11/13/23,265.00,2022-2023,Hopland
11/14/23,282.00,2022-2023,Hopland
11/15/23,298.00,2022-2023,Hopland
11/16/23,314.00,2022-2023,Hopland
11/17/23,329.00,2022-2023,Hopland
11/18/23,343.00,2022-2023,Hopland
11/19/23,359.00,2022-2023,Hopland
11/20/23,375.00,2022-2023,Hopland
11/21/23,391.00,2022-2023,Hopland
11/22/23,405.00,2022-2023,Hopland
11/23/23,420.00,2022-2023,Hopland
11/24/23,433.00,2022-2023,Hopland
11/25/23,447.00,2022-2023,Hopland
11/26/23,461.00,2022-2023,Hopland
11/27/23,476.00,2022-2023,Hopland
11/28/23,490.00,2022-2023,Hopland
11/29/23,507.00,2022-2023,Hopland
11/30/23,517.00,2022-2023,Hopland
12/1/23,529.00,2022-2023,Hopland
12/2/23,548.00,2022-2023,Hopland
12/3/23,562.00,2022-2023,Hopland
12/4/23,564.00,2022-2023,Hopland
12/5/23,568.00,2022-2023,Hopland
12/6/23,583.00,2022-2023,Hopland
12/7/23,603.00,2022-2023,Hopland
12/8/23,618.00,2022-2023,Hopland
12/9/23,634.00,2022-2023,Hopland
12/10/23,638.00,2022-2023,Hopland
12/11/23,657.00,2022-2023,Hopland
12/12/23,676.00,2022-2023,Hopland
12/13/23,696.00,2022-2023,Hopland
12/14/23,716.00,2022-2023,Hopland
12/15/23,735.00,2022-2023,Hopland
12/16/23,754.00,2022-2023,Hopland
12/17/23,772.00,2022-2023,Hopland
12/18/23,791.00,2022-2023,Hopland
12/19/23,810.00,2022-2023,Hopland
12/20/23,823.00,2022-2023,Hopland
12/21/23,832.00,2022-2023,Hopland
12/22/23,832.00,2022-2023,Hopland
12/23/23,832.00,2022-2023,Hopland
12/24/23,832.00,2022-2023,Hopland
12/25/23,832.00,2022-2023,Hopland
12/26/23,832.00,2022-2023,Hopland
12/27/23,836.00,2022-2023,Hopland
12/28/23,848.00,2022-2023,Hopland
12/29/23,853.00,2022-2023,Hopland
12/30/23,853.00,2022-2023,Hopland
12/31/23,855.00,2022-2023,Hopland
1/1/24,869.00,2022-2023,Hopland
1/2/24,889.00,2022-2023,Hopland
1/3/24,901.00,2022-2023,Hopland
1/4/24,901.00,2022-2023,Hopland
1/5/24,907.00,2022-2023,Hopland
1/6/24,910.00,2022-2023,Hopland
1/7/24,910.00,2022-2023,Hopland
1/8/24,910.00,2022-2023,Hopland
1/9/24,910.00,2022-2023,Hopland
1/10/24,910.00,2022-2023,Hopland
1/11/24,910.00,2022-2023,Hopland
1/12/24,910.00,2022-2023,Hopland
1/13/24,910.00,2022-2023,Hopland
1/14/24,914.00,2022-2023,Hopland
1/15/24,925.00,2022-2023,Hopland
1/16/24,939.00,2022-2023,Hopland
1/17/24,956.00,2022-2023,Hopland
1/18/24,974.00,2022-2023,Hopland
1/19/24,992.00,2022-2023,Hopland
1/20/24,1011.00,2022-2023,Hopland
1/21/24,1028.00,2022-2023,Hopland
1/22/24,1042.00,2022-2023,Hopland
1/23/24,1058.00,2022-2023,Hopland
1/24/24,1072.00,2022-2023,Hopland
1/25/24,1086.00,2022-2023,Hopland
1/26/24,1100.00,2022-2023,Hopland
1/27/24,1113.00,2022-2023,Hopland
1/28/24,1128.00,2022-2023,Hopland
1/29/24,1144.00,2022-2023,Hopland
1/30/24,1161.00,2022-2023,Hopland
1/31/24,1178.00,2022-2023,Hopland
2/1/24,1194.00,2022-2023,Hopland
2/2/24,1206.00,2022-2023,Hopland
2/3/24,1214.00,2022-2023,Hopland
2/4/24,1224.00,2022-2023,Hopland
2/5/24,1231.00,2022-2023,Hopland
2/6/24,1246.00,2022-2023,Hopland
2/7/24,1262.00,2022-2023,Hopland
2/8/24,1277.00,2022-2023,Hopland
2/9/24,1291.00,2022-2023,Hopland
2/10/24,1307.00,2022-2023,Hopland
2/11/24,1322.00,2022-2023,Hopland
2/12/24,1335.00,2022-2023,Hopland
2/13/24,1347.00,2022-2023,Hopland
2/14/24,1366.00,2022-2023,Hopland
2/15/24,1383.00,2022-2023,Hopland
2/16/24,1396.00,2022-2023,Hopland
2/17/24,1410.00,2022-2023,Hopland
2/18/24,1424.00,2022-2023,Hopland
2/19/24,1437.00,2022-2023,Hopland
2/20/24,1446.00,2022-2023,Hopland
2/21/24,1455.00,2022-2023,Hopland
2/22/24,1478.00,2022-2023,Hopland
2/23/24,1502.00,2022-2023,Hopland
2/24/24,1526.00,2022-2023,Hopland
2/25/24,1544.00,2022-2023,Hopland
2/26/24,1562.00,2022-2023,Hopland
2/27/24,1586.00,2022-2023,Hopland
2/28/24,1608.00,2022-2023,Hopland
3/1/24,1625.00,2022-2023,Hopland
2/29/24,1625.00,2022-2023,Hopland
3/2/24,1639.00,2022-2023,Hopland
3/3/24,1652.00,2022-2023,Hopland
3/4/24,1671.00,2022-2023,Hopland
3/5/24,1693.00,2022-2023,Hopland
3/6/24,1713.00,2022-2023,Hopland
3/7/24,1732.00,2022-2023,Hopland
3/8/24,1748.00,2022-2023,Hopland
3/9/24,1760.00,2022-2023,Hopland
3/10/24,1766.00,2022-2023,Hopland
3/11/24,1776.00,2022-2023,Hopland
3/12/24,1776.00,2022-2023,Hopland
3/13/24,1776.00,2022-2023,Hopland
3/14/24,1776.00,2022-2023,Hopland
3/15/24,1789.00,2022-2023,Hopland
3/16/24,1802.00,2022-2023,Hopland
3/17/24,1813.00,2022-2023,Hopland
3/18/24,1822.00,2022-2023,Hopland
3/19/24,1822.00,2022-2023,Hopland
3/20/24,1829.00,2022-2023,Hopland
3/21/24,1839.00,2022-2023,Hopland
3/22/24,1839.00,2022-2023,Hopland
3/23/24,1842.00,2022-2023,Hopland
3/24/24,1855.00,2022-2023,Hopland
3/25/24,1869.00,2022-2023,Hopland
3/26/24,1882.00,2022-2023,Hopland
3/27/24,1891.00,2022-2023,Hopland
3/28/24,1903.00,2022-2023,Hopland
3/29/24,1918.00,2022-2023,Hopland
3/30/24,1932.00,2022-2023,Hopland
3/31/24,1944.00,2022-2023,Hopland
4/1/24,1953.00,2022-2023,Hopland
4/2/24,1964.00,2022-2023,Hopland
4/3/24,1978.00,2022-2023,Hopland
4/4/24,1991.00,2022-2023,Hopland
4/5/24,2003.00,2022-2023,Hopland
4/6/24,2011.00,2022-2023,Hopland
4/7/24,2012.00,2022-2023,Hopland
4/8/24,2018.00,2022-2023,Hopland
4/9/24,2025.00,2022-2023,Hopland
4/10/24,2028.00,2022-2023,Hopland
4/11/24,2029.00,2022-2023,Hopland
4/12/24,2039.00,2022-2023,Hopland
4/13/24,2049.00,2022-2023,Hopland
4/14/24,2060.00,2022-2023,Hopland
4/15/24,2070.00,2022-2023,Hopland
4/16/24,2077.00,2022-2023,Hopland
4/17/24,2079.00,2022-2023,Hopland
4/18/24,2092.00,2022-2023,Hopland
4/19/24,2103.00,2022-2023,Hopland
4/20/24,2110.00,2022-2023,Hopland
4/21/24,2112.00,2022-2023,Hopland
4/22/24,2113.00,2022-2023,Hopland
4/23/24,2113.00,2022-2023,Hopland
4/24/24,2119.00,2022-2023,Hopland
4/25/24,2125.00,2022-2023,Hopland
4/26/24,2129.00,2022-2023,Hopland
4/27/24,2131.00,2022-2023,Hopland
4/28/24,2131.00,2022-2023,Hopland
4/29/24,2133.00,2022-2023,Hopland
4/30/24,2136.00,2022-2023,Hopland
5/1/24,2136.00,2022-2023,Hopland
5/2/24,2136.00,2022-2023,Hopland
5/3/24,2137.00,2022-2023,Hopland
5/4/24,2141.00,2022-2023,Hopland
5/5/24,2146.00,2022-2023,Hopland
5/6/24,2149.00,2022-2023,Hopland
5/7/24,2156.00,2022-2023,Hopland
5/8/24,2156.00,2022-2023,Hopland
5/9/24,2165.00,2022-2023,Hopland
5/10/24,2171.00,2022-2023,Hopland
5/11/24,2172.00,2022-2023,Hopland
5/12/24,2176.00,2022-2023,Hopland
5/13/24,2176.00,2022-2023,Hopland
5/14/24,2176.00,2022-2023,Hopland
5/15/24,2176.00,2022-2023,Hopland
5/16/24,2176.00,2022-2023,Hopland
5/17/24,2176.00,2022-2023,Hopland
5/18/24,2179.00,2022-2023,Hopland
5/19/24,2179.00,2022-2023,Hopland
5/20/24,2182.00,2022-2023,Hopland
5/21/24,2184.00,2022-2023,Hopland
5/22/24,2184.00,2022-2023,Hopland
5/23/24,2184.00,2022-2023,Hopland
5/24/24,2187.00,2022-2023,Hopland
5/25/24,2187.00,2022-2023,Hopland
5/26/24,2187.00,2022-2023,Hopland
5/27/24,2187.00,2022-2023,Hopland
5/28/24,2187.00,2022-2023,Hopland
5/29/24,2187.00,2022-2023,Hopland
5/30/24,2187.00,2022-2023,Hopland
5/31/24,2187.00,2022-2023,Hopland
6/1/24,2187.00,2022-2023,Hopland
6/2/24,2191.00,2022-2023,Hopland
6/3/24,2191.00,2022-2023,Hopland
6/4/24,2191.00,2022-2023,Hopland
6/5/24,2191.00,2022-2023,Hopland
6/6/24,2191.00,2022-2023,Hopland
6/7/24,2191.00,2022-2023,Hopland
6/8/24,2191.00,2022-2023,Hopland
6/9/24,2191.00,2022-2023,Hopland
6/10/24,2191.00,2022-2023,Hopland
6/11/24,2191.00,2022-2023,Hopland
6/12/24,2191.00,2022-2023,Hopland
6/13/24,2191.00,2022-2023,Hopland
6/14/24,2191.00,2022-2023,Hopland
6/15/24,2191.00,2022-2023,Hopland
6/16/24,2191.00,2022-2023,Hopland
6/17/24,2191.00,2022-2023,Hopland
6/18/24,2191.00,2022-2023,Hopland
6/19/24,2192.00,2022-2023,Hopland
6/20/24,2198.00,2022-2023,Hopland
6/21/24,2204.00,2022-2023,Hopland
6/22/24,2204.00,2022-2023,Hopland
6/23/24,2204.00,2022-2023,Hopland
6/24/24,2204.00,2022-2023,Hopland
6/25/24,2204.00,2022-2023,Hopland
6/26/24,2204.00,2022-2023,Hopland
6/27/24,2204.00,2022-2023,Hopland
6/28/24,2204.00,2022-2023,Hopland
6/29/24,2204.00,2022-2023,Hopland
6/30/24,2204.00,2022-2023,Hopland
9/1/23,0.00,2023-2024,Hopland
9/2/23,0.00,2023-2024,Hopland
9/3/23,0.00,2023-2024,Hopland
9/4/23,0.00,2023-2024,Hopland
9/5/23,0.00,2023-2024,Hopland
9/6/23,0.00,2023-2024,Hopland
9/7/23,0.00,2023-2024,Hopland
9/8/23,1.00,2023-2024,Hopland
9/9/23,4.00,2023-2024,Hopland
9/10/23,8.00,2023-2024,Hopland
9/11/23,9.00,2023-2024,Hopland
9/12/23,9.00,2023-2024,Hopland
9/13/23,9.00,2023-2024,Hopland
9/14/23,9.00,2023-2024,Hopland
9/15/23,9.00,2023-2024,Hopland
9/16/23,9.00,2023-2024,Hopland
9/17/23,9.00,2023-2024,Hopland
9/18/23,9.00,2023-2024,Hopland
9/19/23,9.00,2023-2024,Hopland
9/20/23,9.00,2023-2024,Hopland
9/21/23,13.00,2023-2024,Hopland
9/22/23,13.00,2023-2024,Hopland
9/23/23,19.00,2023-2024,Hopland
9/24/23,23.00,2023-2024,Hopland
9/25/23,23.00,2023-2024,Hopland
9/26/23,23.00,2023-2024,Hopland
9/27/23,26.00,2023-2024,Hopland
9/28/23,27.00,2023-2024,Hopland
9/29/23,27.00,2023-2024,Hopland
9/30/23,27.00,2023-2024,Hopland
10/1/23,27.00,2023-2024,Hopland
10/2/23,34.00,2023-2024,Hopland
10/3/23,34.00,2023-2024,Hopland
10/4/23,34.00,2023-2024,Hopland
10/5/23,36.00,2023-2024,Hopland
10/6/23,37.00,2023-2024,Hopland
10/7/23,40.00,2023-2024,Hopland
10/8/23,43.00,2023-2024,Hopland
10/9/23,43.00,2023-2024,Hopland
10/10/23,43.00,2023-2024,Hopland
10/11/23,45.00,2023-2024,Hopland
10/12/23,53.00,2023-2024,Hopland
10/13/23,61.00,2023-2024,Hopland
